date,A,B,S,BT,C,L
02/01,10,9,,,,
02/05,7,10,,,,
02/06,10,7,,,,
02/07,10,9,,,,
02/08-1,10,,3,,,
02/08-2,10,,7,,,
02/08-3,6,10,,,,
02/09-1,10,,1,,,
02/09-2,10,9,,,,
02/13,10,,5,,,
02/14-1,10,2,,,,
02/14-2,5,10,,,,
02/14-3,8,10,,,,
02/22,5,10,,,,
02/23-1,,10,6,,,
02/23-2,,,10,4,,
02/23-3,,,,,5,4
02/26-1,10,,6,,,
02/26-2,10,,4,,,
02/27-1,8,10,,,,
02/27-2,8,10,,,,
02/27-3,10,4,,,,
02/27-4,7,10,,,,
02/28-1,7,10,,,,
02/28-2,10,,7,,,
03/01-1,10,,8,,,
03/01-2,8,10,,,,
03/01-3,10,,6,,,
03/05-1,10,5,,,,
03/05-2,10,9,,,,
03/06-1,6,10,,,,
03/06-2,10,4,,,,
03/06-3,10,4,,,,
03/06-4,6,10,,,,
03/06-5,10,,6,,,
03/07-1,10,4,,,,
03/07-2,10,4,,,,
03/07-3,10,,7,,,
03/07-4,8,10,,,,
03/09-1,,7,10,,,
03/09-2,,10,5,,,
03/12-1,10,9,,,,
03/12-2,10,2,,,,
03/14-1,10,6,,,,
03/14-2,10,5,,,,
03/14-3,8,,10,,,
